,nv_8x8_b1_dat-524288_wt-32768_int8,nv_8x8_b1_dat-1048576_wt-65536_int16,nv_8x16_b1_dat-2097152_wt-262144_int32,nv_16x16_b1_dat-524288_wt-65536_int8,nv_32x16_b1_dat-1048576_wt-131072_int16,nv_32x8_b1_dat-2097152_wt-131072_int32,nv_16x32_b1_dat-524288_wt-131072_int8,nv_32x32_b1_dat-1048576_wt-262144_int16,nv_32x32_b1_dat-2097152_wt-524288_int32
conv1,0.9639,0.988842789349079,0.9948829322502833,0.997,0.997,0.9272597034387745,0.997,0.9239227779764998,0.8703455720437544
conv2,0.8821,0.822767362868415,0.8762914538305269,0.9541820224587202,0.8387549822548699,0.938522008405336,0.7913985205877819,0.9520435035244463,0.7449186117427866
conv3,0.5526,0.46317069704214564,0.5292300114973845,0.6209065456829662,0.49334170849131825,0.6014118181884459,0.6214937963443811,0.6420220230699811,0.48555777098139796
conv4,0.7205,0.7390041533378082,0.8101324446706835,0.719427641496099,0.6043841579636456,0.8012949176693911,0.765496129502554,0.7860916867958119,0.8157987063549481
conv5,0.7714,0.8451975934602218,0.8730726598981874,0.7152815277254074,0.6521892475933412,0.9007220033186764,0.8207495254237448,0.6787549327398452,0.7266433772969788
