,nv_8x8_b1_dat-524288_wt-32768_int8,nv_8x8_b1_dat-1048576_wt-65536_int16,nv_8x16_b1_dat-2097152_wt-262144_int32,nv_16x16_b1_dat-524288_wt-65536_int8,nv_32x16_b1_dat-1048576_wt-131072_int16,nv_32x8_b1_dat-2097152_wt-131072_int32,nv_16x32_b1_dat-524288_wt-131072_int8,nv_32x32_b1_dat-1048576_wt-262144_int16,nv_32x32_b1_dat-2097152_wt-524288_int32
conv1,0.9945,0.997,0.9706858297412004,0.997,0.997,0.9838608351524853,0.997,0.997,0.997
conv2,0.9736,0.9807617058992689,0.9908189841177307,0.997,0.9691715552637045,0.9913629303976145,0.9849412967271665,0.9890096326763034,0.9919171163530048
conv3,0.9145,0.9217687379986536,0.916988701799122,0.9291686954107887,0.8916544662083562,0.9273712414787076,0.9379757918253258,0.9291576669426133,0.9014401380309842
conv4,0.9499,0.9661029701543363,0.9670084781701354,0.9520452055561194,0.9566997829342657,0.9703154526573804,0.9540157888297549,0.9320273528671581,0.9554976144198498
conv5,0.971,0.9579211033131432,0.9560992162085334,0.9899582834256916,0.9900071607971235,0.9792032036582686,0.9928035067292623,0.9706908643407872,0.9718643658002375
